accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ
203,63,-2088,-152,114,-10,11,22,1
203,58,-2086,-153,115,-11,6,21,0
200,64,-2093,-151,117,-7,7,20,2
199,65,-2090,-149,109,-17,6,20,1
201,62,-2089,-156,110,-18,9,24,-1
204,59,-2088,-148,110,-12,8,23,3
203,61,-2093,-153,119,-21,6,23,0
200,62,-2084,-156,110,-16,6,20,0
205,63,-2087,-145,109,-17,10,20,2
203,62,-2084,-154,118,-10,6,22,0
200,57,-2089,-160,108,-22,7,21,1
203,62,-2091,-153,105,-17,5,22,1
204,61,-2092,-155,109,-9,6,23,-1
203,65,-2089,-150,110,-12,6,23,2
196,60,-2087,-149,111,-15,5,21,1
200,60,-2087,-153,113,-11,9,22,0
200,66,-2084,-162,104,-12,9,21,-1
203,63,-2088,-150,110,-16,6,22,1
203,61,-2086,-149,109,-15,7,20,0
201,62,-2090,-149,115,-13,9,24,0
202,62,-2091,-150,116,-10,7,22,0
199,60,-2083,-154,104,-12,5,22,0
199,61,-2091,-153,111,-13,10,23,0
203,63,-2095,-151,107,-7,7,22,2
203,61,-2091,-147,111,-7,6,23,0
202,61,-2088,-146,114,-10,9,21,0
198,63,-2084,-150,112,-14,5,24,2
204,62,-2091,-145,115,-11,7,24,0
201,62,-2088,-151,115,-3,8,22,0
203,62,-2090,-156,114,-22,6,20,0
203,60,-2082,-154,118,-16,7,21,4
199,61,-2093,-152,114,-22,8,22,1
202,61,-2091,-152,106,-10,9,19,0
204,58,-2096,-152,110,-10,6,22,1
203,64,-2088,-150,116,-8,5,21,0
202,62,-2087,-148,118,-8,4,23,2
203,62,-2085,-152,108,-14,7,21,0
201,63,-2092,-150,116,-8,11,22,2
198,57,-2089,-142,114,-14,7,21,1
204,59,-2091,-146,116,0,6,23,1
198,60,-2096,-151,105,-11,9,22,3
201,64,-2090,-147,109,-3,5,23,-2
202,61,-2086,-156,114,-6,6,20,-1
198,61,-2098,-158,114,-10,6,23,0
195,61,-2087,-154,116,-4,8,25,0
199,57,-2092,-149,117,-9,9,23,-2
204,64,-2094,-153,119,-5,5,22,1
205,61,-2088,-152,110,-10,7,22,1
201,62,-2096,-153,107,-13,7,23,2
202,62,-2082,-154,118,-12,10,22,1
202,64,-2086,-147,111,-11,6,21,1
204,62,-2084,-155,111,-13,7,20,0
199,60,-2090,-144,116,-18,6,21,1
199,59,-2084,-156,110,-14,9,24,0
200,62,-2095,-146,106,-22,7,23,-2
199,59,-2095,-153,115,-15,5,24,-2
197,63,-2086,-145,107,-13,6,23,2
205,65,-2088,-154,126,-14,7,21,-1
203,58,-2087,-150,112,-6,6,22,-2
201,61,-2088,-159,111,-13,7,23,-2
202,58,-2086,-156,102,-12,6,25,-3
198,63,-2095,-159,119,-9,7,24,2
203,59,-2091,-147,113,-21,8,25,-2
197,59,-2091,-158,108,-14,5,22,2
198,59,-2097,-153,105,-15,5,24,-2
201,60,-2092,-152,110,-24,6,23,3
204,61,-2089,-151,111,-15,8,24,0
201,57,-2081,-149,109,-11,6,23,2
205,62,-2087,-158,110,-18,9,22,-1
200,62,-2090,-147,107,-7,7,21,0
200,61,-2099,-155,117,-19,10,24,1
203,60,-2087,-149,123,-9,5,25,-1
199,58,-2092,-151,111,-15,5,22,0
201,63,-2088,-153,109,-19,7,22,-1
201,58,-2092,-151,117,-5,7,22,3
202,61,-2085,-146,120,-14,5,21,0
201,62,-2096,-154,118,-10,6,23,0
203,64,-2077,-148,110,-18,8,23,-2
201,61,-2084,-149,121,-23,6,22,1
202,59,-2088,-151,107,-17,6,22,-1
204,63,-2091,-156,112,-8,7,22,0
206,63,-2084,-149,107,-13,9,21,-2
203,63,-2088,-148,118,-14,10,21,0
206,55,-2089,-156,112,-8,6,21,0
203,61,-2090,-142,106,-16,5,21,-1
202,66,-2089,-148,104,-14,5,22,-1
202,63,-2088,-150,106,-14,6,24,0
199,60,-2088,-156,112,-6,7,21,0
196,60,-2090,-160,116,-16,7,21,3
205,64,-2093,-151,107,-13,6,21,1
199,64,-2085,-157,113,-11,8,24,-2
199,61,-2092,-158,110,-16,9,21,-1
201,64,-2093,-149,113,-19,7,21,0
203,67,-2090,-150,120,-18,8,22,-1
203,63,-2085,-154,118,-14,6,21,2
199,64,-2092,-149,111,-13,7,22,1
202,60,-2096,-154,108,-18,9,22,1
201,60,-2091,-149,117,-7,7,21,-1
200,61,-2088,-149,113,-13,7,23,-1
203,56,-2086,-147,117,-7,7,22,0
201,62,-2092,-150,114,-8,9,20,0
201,61,-2091,-152,114,-22,8,23,2
204,60,-2091,-151,115,-15,7,23,-1
202,64,-2083,-148,112,-18,5,22,-1
200,63,-2086,-156,116,-8,4,22,0
203,62,-2088,-155,113,-15,5,21,1
202,66,-2087,-150,114,-14,6,22,2
203,63,-2085,-150,110,-10,4,25,-1
201,64,-2090,-154,110,-16,6,21,2
202,63,-2088,-150,98,-14,7,23,-1
203,63,-2090,-149,107,-5,9,22,1
202,64,-2091,-158,108,-12,7,23,0
202,61,-2087,-153,115,-11,7,22,1
202,64,-2086,-153,109,-9,7,25,-1
203,58,-2089,-150,110,-12,8,22,2
204,63,-2087,-149,103,-17,5,22,1
201,60,-2091,-163,107,-17,8,20,0
197,63,-2091,-150,114,-14,8,23,3
203,64,-2088,-149,115,-15,8,20,0
206,64,-2085,-152,112,-8,5,23,0
202,65,-2090,-144,102,-12,6,23,0
200,62,-2091,-150,114,-12,8,23,1
201,62,-2092,-153,119,-7,5,20,2
201,60,-2090,-154,116,-12,8,19,-1
201,62,-2089,-148,112,-10,4,22,-1
200,64,-2090,-154,114,-18,7,23,-1
200,58,-2087,-154,108,-12,6,22,1
200,60,-2089,-150,104,-10,9,24,0
201,65,-2090,-147,111,-11,9,25,1
201,64,-2094,-157,121,-17,9,23,1
201,62,-2090,-150,108,-18,7,21,-1
203,64,-2094,-157,115,-11,9,23,1
197,62,-2086,-146,108,-16,6,22,1
201,63,-2089,-150,112,-12,6,21,1
199,65,-2091,-152,106,-16,6,24,1
202,63,-2087,-144,108,-16,8,25,0
203,61,-2092,-158,116,-10,8,22,2
202,66,-2095,-155,117,-9,8,21,-1
200,60,-2086,-151,107,-13,9,21,0
203,65,-2094,-157,115,-7,5,19,1
200,61,-2090,-156,116,-18,7,21,0
